X Y1 Y2 Y3
0.000000 0.000000 1.000000 0.500000
0.100000 0.099833 0.995004 0.500000
0.200000 0.198669 0.980067 0.500000
0.300000 0.295520 0.955336 0.500000
0.400000 0.389418 0.921061 0.500000
0.500000 0.479426 0.877583 0.500000
0.600000 0.564642 0.825336 0.500000
0.700000 0.644218 0.764842 0.500000
0.800000 0.717356 0.696707 0.500000
0.900000 0.783327 0.621610 0.500000
1.000000 0.841471 0.540302 0.500000
1.100000 0.891207 0.453596 0.500000
1.200000 0.932039 0.362358 0.500000
1.300000 0.963558 0.267499 0.500000
1.400000 0.985450 0.169967 0.500000
1.500000 0.997495 0.070737 0.500000
1.600000 0.999574 -0.029200 0.500000
1.700000 0.991665 -0.128844 0.500000
1.800000 0.973848 -0.227202 0.500000
1.900000 0.946300 -0.323290 0.500000
2.000000 0.909297 -0.416147 0.500000
2.100000 0.863209 -0.504846 0.500000
2.200000 0.808496 -0.588501 0.500000
2.300000 0.745705 -0.666276 0.500000
2.400000 0.675463 -0.737394 0.500000
2.500000 0.598472 -0.801144 0.500000
2.600000 0.515501 -0.856889 0.500000
2.700000 0.427380 -0.904072 0.500000
2.800000 0.334988 -0.942222 0.500000
2.900000 0.239249 -0.970958 0.500000
3.000000 0.141120 -0.989992 0.500000
3.100000 0.041581 -0.999135 0.500000
3.200000 -0.058374 -0.998295 0.500000
3.300000 -0.157746 -0.987480 0.500000
3.400000 -0.255541 -0.966798 0.500000
3.500000 -0.350783 -0.936457 0.500000
3.600000 -0.442520 -0.896758 0.500000
3.700000 -0.529836 -0.848100 0.500000
3.800000 -0.611858 -0.790968 0.500000
3.900000 -0.687766 -0.725932 0.500000
4.000000 -0.756802 -0.653644 0.500000
4.100000 -0.818277 -0.574824 0.500000
4.200000 -0.871576 -0.490261 0.500000
4.300000 -0.916166 -0.400799 0.500000
4.400000 -0.951602 -0.307333 0.500000
4.500000 -0.977530 -0.210796 0.500000
4.600000 -0.993691 -0.112153 0.500000
4.700000 -0.999923 -0.012389 0.500000
4.800000 -0.996165 0.087499 0.500000
4.900000 -0.982453 0.186512 0.500000
5.000000 -0.958924 0.283662 0.500000
5.100000 -0.925815 0.377978 0.500000
5.200000 -0.883455 0.468517 0.500000
5.300000 -0.832267 0.554374 0.500000
5.400000 -0.772764 0.634693 0.500000
5.500000 -0.705540 0.708670 0.500000
5.600000 -0.631267 0.775566 0.500000
5.700000 -0.550686 0.834713 0.500000
5.800000 -0.464602 0.885520 0.500000
5.900000 -0.373877 0.927478 0.500000
6.000000 -0.279415 0.960170 0.500000
6.100000 -0.182163 0.983268 0.500000
6.200000 -0.083089 0.996542 0.500000
6.300000 0.016814 0.999859 0.500000
6.400000 0.116549 0.993185 0.500000
6.500000 0.215120 0.976588 0.500000
6.600000 0.311541 0.950233 0.500000
6.700000 0.404850 0.914383 0.500000
6.800000 0.494113 0.869397 0.500000
6.900000 0.578440 0.815725 0.500000
7.000000 0.656987 0.753902 0.500000
7.100000 0.728969 0.684547 0.500000
7.200000 0.793668 0.608351 0.500000
7.300000 0.850437 0.526078 0.500000
7.400000 0.898708 0.438547 0.500000
7.500000 0.938000 0.346635 0.500000
7.600000 0.967920 0.251260 0.500000
7.700000 0.988168 0.153374 0.500000
7.800000 0.998543 0.053955 0.500000
7.900000 0.998941 -0.046002 0.500000
8.000000 0.989358 -0.145500 0.500000
8.100000 0.969890 -0.243544 0.500000
8.200000 0.940731 -0.339155 0.500000
8.300000 0.902172 -0.431377 0.500000
8.400000 0.854599 -0.519289 0.500000
8.500000 0.798487 -0.602012 0.500000
8.600000 0.734397 -0.678720 0.500000
8.700000 0.662969 -0.748647 0.500000
8.800000 0.584917 -0.811093 0.500000
8.900000 0.501021 -0.865435 0.500000
9.000000 0.412118 -0.911130 0.500000
9.100000 0.319098 -0.947722 0.500000
9.200000 0.222890 -0.974844 0.500000
9.300000 0.124454 -0.992225 0.500000
9.400000 0.024775 -0.999693 0.500000
9.500000 -0.075151 -0.997172 0.500000
9.600000 -0.174327 -0.984688 0.500000
9.700000 -0.271761 -0.962365 0.500000
9.800000 -0.366479 -0.930426 0.500000
9.900000 -0.457536 -0.889191 0.500000
10.000000 -0.544021 -0.839072 0.500000
10.100000 -0.625071 -0.780568 0.500000
10.200000 -0.699875 -0.714266 0.500000
10.300000 -0.767686 -0.640826 0.500000
10.400000 -0.827826 -0.560984 0.500000
10.500000 -0.879696 -0.475537 0.500000
10.600000 -0.922775 -0.385338 0.500000
10.700000 -0.956635 -0.291289 0.500000
10.800000 -0.980936 -0.194330 0.500000
10.900000 -0.995436 -0.095429 0.500000
11.000000 -0.999990 0.004426 0.500000
11.100000 -0.994553 0.104236 0.500000
11.200000 -0.979178 0.203005 0.500000
11.300000 -0.954019 0.299745 0.500000
11.400000 -0.919329 0.393491 0.500000
11.500000 -0.875452 0.483305 0.500000
11.600000 -0.822829 0.568290 0.500000
11.700000 -0.761984 0.647596 0.500000
11.800000 -0.693525 0.720432 0.500000
11.900000 -0.618137 0.786070 0.500000
12.000000 -0.536573 0.843854 0.500000
12.100000 -0.449647 0.893206 0.500000
12.200000 -0.358229 0.933634 0.500000
12.300000 -0.263232 0.964733 0.500000
12.400000 -0.165604 0.986192 0.500000
12.500000 -0.066322 0.997798 0.500000
